in_channels,out_channels,kernel_size,stride,groups,hw
24,23,1,1,1,14
1633,1478,1,1,1,7
59,108,1,1,1,14
24,32,1,1,1,56
3941,3935,1,1,1,7
76,114,1,2,1,56
419,1177,1,1,1,56
3782,3773,1,1,1,7
462,462,3,1,11,14
4,5,1,1,1,56
3275,851,1,1,1,14
76,80,3,2,2,56
135,130,3,1,5,28
114,114,3,2,19,7
78,135,1,2,1,56
533,520,3,1,13,14
2690,2468,1,1,1,14
499,434,1,1,1,14
1440,1440,3,2,24,14
16,17,1,1,1,56
795,704,1,1,1,56
843,811,1,1,1,28
552,494,3,1,2,112
2496,2457,3,2,39,7
2682,2610,3,1,18,14
50,60,3,2,5,14
2665,2193,1,1,1,7
31,77,1,1,1,28
152,100,1,1,1,112
303,1118,1,1,1,7
1160,1160,3,1,10,28
3640,3640,3,2,35,7
417,2369,1,1,1,14
1809,479,1,1,1,56
29,31,1,1,1,56
2822,2625,1,1,1,14
1363,1363,3,2,29,14
25,34,3,2,1,56
1082,284,1,1,1,56
1194,1173,1,1,1,7
1587,1530,1,1,1,7
2862,488,1,1,1,7
402,164,1,1,1,56
1904,1890,3,2,14,14
21,22,3,1,1,56
3604,3604,3,1,34,7
1097,1033,1,1,1,56
35,44,1,1,1,112
112,153,1,1,1,112
1829,1798,3,2,31,14
14,18,1,1,1,56
1008,342,1,1,1,56
3799,3842,1,1,1,14
1109,1033,1,1,1,7
52,120,1,1,1,7
166,271,1,1,1,14
237,365,1,1,1,112
445,142,1,1,1,14
2688,2646,3,1,42,7
180,240,1,2,2,56
51,48,3,2,3,56
1100,1120,3,2,20,7
120,144,3,2,3,14
8,15,3,1,1,112
2433,560,1,1,1,7
296,259,3,2,37,7
260,260,3,1,20,14
423,405,3,1,3,112
2940,2898,3,2,42,14
168,156,3,2,3,112
152,176,3,1,8,14
2431,2405,3,1,13,14
1297,352,1,1,1,56
1482,2028,3,1,39,7
3146,3080,3,1,22,14
628,2014,1,1,1,7
645,2094,1,1,1,14
689,258,1,1,1,56
306,2045,1,1,1,7
1082,968,1,1,1,14
456,143,1,1,1,14
2004,3944,1,1,1,14
587,151,1,1,1,28
252,932,1,1,1,14
505,1616,1,1,1,7
1314,1320,3,2,6,14
2184,2170,3,1,14,14
774,176,1,1,1,7
896,248,1,1,1,56
2294,2257,3,1,37,14
539,1739,1,1,1,7
336,291,3,2,3,112
1560,1560,3,2,20,7
391,121,1,1,1,14
1094,1158,1,1,1,14
720,711,3,2,9,28
330,330,3,2,33,14
642,982,1,1,1,112
765,126,1,1,1,7
2179,508,1,1,1,28
1139,1139,3,1,17,14
960,912,3,1,4,112
71,32,1,1,1,14
1090,997,1,1,1,28
1800,1790,3,2,10,28
132,216,1,1,1,112
2223,2184,3,2,39,14
684,684,3,1,36,14
160,231,1,1,1,56
42,40,3,2,2,56
112,112,3,1,7,14
17,19,1,1,1,14
2320,2320,3,2,40,14
250,314,1,2,2,56
30,42,1,1,1,7
2240,2240,3,1,40,14
1979,1970,1,1,1,7
455,436,1,1,1,28
222,336,1,2,2,56
236,388,1,1,1,112
3034,2993,3,2,41,14
738,1721,1,1,1,14
305,985,1,1,1,7
256,240,3,1,16,14
126,458,1,1,1,28
3264,3240,3,2,12,28
1134,1134,3,2,21,14
2520,2478,3,1,42,7
1650,1617,3,1,33,14
1100,1060,3,1,10,28
56,112,1,2,1,112
1677,2028,3,2,39,14
2165,435,1,1,1,7
1869,1827,3,1,21,14
3012,2731,1,1,1,28
250,100,1,1,1,14
2280,2242,3,2,38,14
561,157,1,1,1,7
146,272,1,2,1,56
240,240,3,1,40,7
3444,3444,3,2,41,14
2439,2403,3,2,9,28
3897,1004,1,1,1,14
1840,415,1,1,1,28
25,32,3,2,1,28
166,280,1,2,1,56
714,731,3,1,17,14
1433,319,1,1,1,14
175,232,1,2,1,112
1692,1668,3,2,6,56
151,261,3,1,1,112
1774,1477,1,1,1,14
406,937,1,1,1,14
51,49,1,1,1,112
476,476,3,2,17,14
3157,3116,3,1,41,14
570,570,3,1,19,14
437,148,1,1,1,56
288,364,1,1,1,7
399,380,3,1,19,14
9,16,1,1,1,112
27,28,1,1,1,112
78,52,1,1,1,14
812,812,3,1,29,14
3079,3655,1,1,1,7
21,27,3,2,1,112
2223,2298,1,1,1,7
244,352,1,2,2,56
3533,3503,1,1,1,7
1352,1326,3,2,26,14
325,300,3,1,25,14
26,22,1,1,1,7
1160,1120,3,1,40,14
1357,295,1,1,1,14
1434,1270,1,1,1,56
2430,2400,3,1,30,7
26,56,1,1,1,112
19,66,1,1,1,7
3922,3923,1,1,1,7
2752,2388,1,1,1,7
230,97,1,1,1,56
76,76,3,2,38,7
134,213,1,2,1,112
45,42,3,2,3,56
152,284,1,2,1,56
394,199,1,1,1,56
285,1336,1,1,1,7
14,23,1,1,1,14
1529,1463,3,1,11,28
1976,1976,3,1,38,14
1652,1624,3,1,28,14
451,410,3,1,41,7
1151,2054,1,1,1,28
758,2221,1,1,1,28
724,2028,1,1,1,28
53,58,1,2,1,112
3,3,1,1,1,112
435,1167,1,1,1,7
3614,3614,3,2,26,7
125,211,1,2,1,56
1287,1274,3,2,13,14
561,528,3,1,33,14
196,182,3,1,14,14
7,38,1,1,1,56
3937,1354,1,1,1,14
14,32,1,1,1,112
1329,3027,1,1,1,7
1616,400,1,1,1,56
172,168,3,2,4,56
2016,1952,3,2,32,14
283,259,1,1,1,14
53,74,1,1,1,112
130,449,1,1,1,14
63,76,1,1,1,7
84,81,3,1,3,56
1354,1239,1,1,1,7
27,23,1,1,1,28
1838,523,1,1,1,28
320,320,3,1,8,28
976,492,1,1,4,14
54,84,1,1,1,112
738,756,3,1,18,14
117,114,3,1,3,56
116,144,1,2,1,112
20,19,1,2,1,112
59,110,1,1,1,112
50,166,1,1,1,56
1230,1189,3,1,41,7
17,32,3,1,1,112
2856,2856,3,1,28,7
2440,2360,3,1,40,7
880,870,3,1,10,14
238,344,1,2,2,56
93,337,1,1,1,28
1189,1160,3,1,29,14
2139,2169,1,1,1,7
1896,1896,3,2,24,7
1428,1394,3,1,34,14
99,88,1,1,1,28
796,454,1,1,1,7
3752,1973,1,1,1,14
624,214,1,1,1,56
910,910,3,1,5,112
209,198,1,1,1,56
1036,973,1,1,1,28
1073,1102,3,1,29,7
185,307,1,2,1,56
1365,1379,3,1,7,112
50,57,3,2,1,112
57,37,1,1,1,56
1120,1080,3,1,40,7
230,747,1,1,1,56
99,88,3,1,11,14
3344,1606,1,1,1,7
127,228,1,1,1,56
899,853,1,1,1,14
2000,1960,3,2,40,14
106,67,1,1,1,112
5,14,1,2,1,112
231,311,1,1,1,112
3650,3560,3,1,10,14
21,30,1,1,1,112
150,275,1,2,1,56
792,780,3,2,6,56
882,3249,1,1,1,14
1580,344,1,1,1,56
1590,1590,3,2,30,14
984,984,3,1,24,14
731,714,3,1,17,14
37,49,1,1,1,28
2702,2625,3,1,7,56
3726,1710,3,1,18,14
64,116,1,1,1,56
3075,3075,3,1,25,7
2002,2158,3,2,26,7
8,18,1,1,1,112
728,721,3,1,7,28
1210,281,1,1,1,14
23,34,1,1,1,7
1544,312,1,1,1,7
1193,258,1,1,1,7
9,29,1,1,1,56
459,452,1,1,1,56
216,352,3,2,2,56
2640,2620,3,1,10,28
3348,3348,3,1,31,7
1395,1395,3,2,31,14
127,216,1,2,1,56
2039,2056,1,1,1,14
2064,2016,3,2,8,28
3238,2399,1,1,1,7
1018,3397,1,1,1,7
111,193,1,1,1,56
406,2663,1,1,1,7
748,770,3,1,22,7
66,107,1,2,1,112
589,199,1,1,1,56
126,281,1,1,1,56
75,62,1,1,1,56
1116,1116,3,1,18,14
1462,1275,3,1,17,14
708,672,3,2,6,112
233,418,1,1,1,112
18,25,1,1,1,28
885,900,3,1,5,112
22,61,1,1,1,112
287,682,1,1,1,28
3531,816,1,1,1,7
1292,1292,3,1,38,14
96,59,1,1,1,56
3952,1493,1,1,1,14
712,1063,1,1,1,28
3531,826,1,1,1,7
738,697,3,1,41,7
228,357,1,1,1,112
41,54,1,2,1,112
533,2713,1,1,1,28
30,72,1,1,1,7
164,140,3,2,2,112
35,33,1,1,1,56
293,133,1,1,1,56
102,96,3,1,6,14
820,761,1,1,1,14
1670,1688,1,1,1,7
48,46,3,2,2,56
2700,2664,3,1,36,14
378,366,3,1,6,28
2256,2256,3,2,24,7
49,126,1,1,1,14
2604,2562,3,2,42,14
689,689,3,1,13,14
650,2875,1,1,1,14
545,2368,1,1,1,7
2314,702,1,1,1,112
2149,898,1,1,1,28
615,610,3,1,5,112
368,416,1,2,4,14
3729,802,1,1,1,14
3403,3403,3,2,41,14
47,38,1,1,1,56
360,360,3,2,15,14
713,682,3,2,31,14
4,5,1,1,1,56
19,19,1,1,1,14
108,239,1,1,1,14
128,172,1,2,2,56
1139,1122,3,2,17,14
101,387,1,1,1,7
380,360,3,1,20,14
579,1949,1,1,1,14
47,233,1,1,1,56
102,84,3,2,2,112
3647,1574,1,1,1,56
3,5,1,1,1,112
97,73,1,1,1,112
442,442,3,1,34,14
75,234,1,1,1,7
46,130,1,1,1,7
3728,3728,3,2,16,28
3305,3322,1,1,1,14
2154,495,1,1,1,28
1512,1512,3,2,21,14
1530,1530,3,1,34,14
3895,3895,3,1,41,14
78,63,3,1,1,112
62,68,1,1,1,56
4,7,1,1,1,112
120,62,1,1,1,14
2579,609,1,1,1,28
342,324,3,1,3,112
436,711,1,1,1,112
3157,3116,3,1,41,14
22,30,1,2,1,112
1000,270,1,1,1,28
3780,3780,3,1,42,7
999,962,3,2,37,14
308,396,1,2,2,56
3080,3080,3,1,20,14
1596,1558,3,2,38,14
16,26,1,2,1,112
1216,1178,3,2,38,7
175,243,1,2,1,112
124,128,3,2,2,56
60,60,3,2,15,7
741,702,3,2,39,7
845,835,3,2,5,56
222,288,1,2,2,56
320,315,3,1,5,56
1443,1406,3,1,37,14
18,31,1,2,1,112
720,702,3,1,6,56
924,924,3,2,28,7
2178,2145,3,1,33,14
292,701,1,2,1,56
68,146,1,1,1,14
100,96,3,2,4,56
39,53,1,1,1,112
192,192,3,1,24,7
3092,652,1,1,1,14
776,702,1,1,1,56
52,129,1,1,1,28
8,13,1,1,1,112
563,2114,1,1,1,14
451,148,1,1,1,14
154,248,1,2,1,112
391,391,3,2,17,14
1090,1030,3,2,5,112
2262,2223,3,2,39,14
504,504,3,2,8,28
1886,1845,3,1,41,7
874,855,3,1,19,14
360,474,1,1,1,112
233,212,1,1,1,7
28,30,1,1,1,28
251,335,1,2,1,112
1939,1827,1,1,1,7
645,630,1,1,1,28
855,2630,1,1,1,28
2146,3918,1,1,1,7
154,245,1,2,1,112
1155,1134,3,2,7,28
3363,2001,1,1,1,7
230,96,1,1,1,28
36,83,1,2,1,112
1480,1360,1,1,1,14
546,546,3,2,21,14
532,161,1,1,1,14
79,154,1,2,1,112
103,280,1,1,1,7
3690,3690,3,2,41,7
1214,1344,1,1,2,7
177,265,1,2,1,112
84,69,1,1,1,112
1296,1284,3,2,12,14
192,152,3,1,2,112
154,143,3,1,11,14
455,2223,1,1,1,28
218,311,1,2,1,112
1273,299,1,1,1,14
3072,643,1,1,1,7
265,945,1,1,1,14
1980,1968,3,2,12,14
504,504,3,1,14,14
3977,3977,3,2,41,7
402,405,1,1,1,28
732,1018,1,1,1,7
652,228,1,1,1,56
1106,1071,3,2,7,56
15,42,1,2,1,112
163,469,1,1,1,7
590,186,1,1,1,28
420,420,3,2,12,14
96,96,3,2,16,7
43,57,1,1,1,14
100,128,3,2,2,28
2688,2688,3,1,24,7
248,75,1,1,1,14
132,132,3,2,22,7
6,7,3,1,1,112
476,499,1,1,1,28
240,200,3,2,40,7
379,373,1,1,1,14
2652,2626,3,2,13,28
486,172,1,1,1,56
675,675,3,2,9,28
147,247,1,1,1,112
820,828,3,1,4,112
588,581,3,1,7,28
381,116,1,1,1,28
88,189,1,1,1,28
111,184,1,2,1,112
51,141,1,2,1,112
3835,3832,1,1,1,14
2240,2240,3,2,32,14
3441,3038,3,1,31,7
490,1785,1,1,1,7
1050,1050,3,2,14,14
60,70,3,2,10,14
15,32,1,1,1,112
139,165,1,1,1,7
226,75,1,1,1,7
359,1006,1,1,1,56
73,133,1,2,1,112
154,280,1,2,1,56
182,182,3,1,26,7
6,11,1,1,1,7
128,136,3,2,4,28
41,142,1,2,1,56
740,183,1,1,1,28
45,42,3,2,3,112
1653,1624,3,1,29,14
680,665,3,2,5,56
1800,1776,3,2,24,14
3944,1177,1,1,1,28
31,44,1,1,1,7
3362,3321,3,1,41,14
195,190,3,1,5,56
250,245,3,2,5,56
812,812,3,1,14,14
102,240,1,1,1,14
2086,2058,3,1,7,56
1984,670,1,1,1,7
304,304,3,2,8,28
74,48,1,1,1,28
621,598,3,2,23,7
407,146,1,1,1,56
80,90,3,1,5,14
76,152,1,1,1,56
10,31,1,1,1,112
477,423,3,2,3,112
76,138,1,1,1,28
710,174,1,1,1,14
145,145,3,1,29,7
2787,2018,1,1,1,7
552,966,1,1,1,14
160,125,1,1,1,7
55,70,1,1,1,28
736,720,3,1,8,28
45,33,1,1,1,56
96,113,1,1,1,14
2835,2520,1,1,1,14
623,615,1,1,1,14
307,1110,1,1,1,14
380,380,3,1,38,7
1120,1120,3,1,35,14
1715,1680,3,2,7,56
40,40,3,2,2,112
406,157,1,1,1,56
738,3018,1,1,1,7
76,65,1,1,1,112
579,135,1,1,1,7
27,40,1,1,1,7
189,189,3,1,27,7
205,310,1,2,1,56
1768,1768,3,1,26,14
658,2478,1,1,1,14
174,297,1,2,1,56
820,820,3,2,41,14
1192,588,1,1,4,7
1554,383,1,1,1,14
1748,1729,3,2,19,14
453,1551,1,1,1,56
6,8,1,1,1,14
608,1009,1,1,1,14
377,377,3,2,13,14
3208,3306,1,1,1,28
511,151,1,1,1,28
1895,427,1,1,1,14
468,504,3,2,36,7
3780,839,1,1,1,14
820,840,3,2,20,14
1748,1767,3,2,19,14
2809,2688,1,1,1,28
414,415,1,1,1,14
2325,2385,3,2,15,28
3444,3444,3,2,42,14
67,111,1,2,1,112
1118,1118,3,1,13,14
392,423,1,1,1,28
30,50,1,2,1,112
333,333,3,1,9,14
654,1004,1,1,2,56
2660,2660,3,2,38,14
85,55,1,1,1,56
1603,1489,1,1,1,7
1287,1278,3,1,9,28
1708,1687,3,1,7,56
650,1413,1,1,1,14
71,150,1,2,1,112
1080,1080,3,1,20,14
378,357,3,1,21,14
2460,2331,1,1,1,14
1216,335,1,1,1,28
3486,3444,3,1,42,14
294,273,3,1,21,14
3654,3654,3,2,42,7
3770,3770,3,2,29,7
120,116,3,1,2,112
720,720,3,2,24,14
2158,2158,3,2,26,7
147,468,1,1,1,112
380,102,1,1,1,14
37,50,1,1,1,14
192,280,1,1,1,7
28,36,3,1,2,28
385,420,3,2,35,7
3520,3480,3,2,40,7
1575,2790,3,2,15,14
1005,995,3,1,5,112
448,420,3,2,28,7
9,15,1,1,1,56
1178,1147,3,2,31,7
68,149,1,2,1,112
3880,3880,3,1,40,7
390,390,3,1,15,14
61,98,1,1,1,112
972,972,3,2,36,14
42,66,1,1,1,7
930,899,3,2,31,7
200,195,3,2,5,28
1150,1150,3,1,25,14
18,18,1,1,1,7
1230,960,3,1,30,14
410,1473,1,1,1,56
2669,2485,1,1,1,112
540,1657,1,1,1,56
1944,1944,3,1,27,14
10,41,1,1,1,112
650,640,3,2,5,56
3519,3492,3,2,9,56
1377,317,1,1,1,14
2519,2431,3,2,11,28
1095,1095,3,1,15,14
320,320,3,1,20,14
1082,255,1,1,1,14
108,116,3,2,2,56
240,719,1,1,1,14
22,26,3,1,2,28
61,304,1,1,1,56
69,84,1,1,1,7
754,754,3,1,29,14
3778,970,1,1,1,7
1140,1140,3,1,12,14
15,22,1,1,1,14
3,20,1,1,1,112
2442,2325,1,1,1,14
62,116,1,1,1,28
1501,1501,3,1,19,14
741,741,3,1,39,14
3788,867,1,1,1,14
65,42,1,1,1,56
3864,3150,3,1,42,14
980,924,3,1,4,112
189,243,1,2,1,112
245,260,3,2,5,14
737,724,1,2,1,56
345,336,1,1,1,56
1086,278,1,1,1,56
2920,3015,1,1,5,7
3936,3936,3,2,41,7
1828,380,1,1,1,28
1764,1728,3,1,36,14
440,429,3,2,11,14
109,117,1,1,1,14
108,108,3,1,6,14
239,221,1,1,1,112
1325,1356,1,1,1,7
3865,3848,1,1,1,7
1798,1767,3,1,31,14
1450,970,1,1,1,56
41,36,1,1,1,28
85,60,1,1,1,28
190,302,1,2,1,112
2430,2400,3,1,30,7
1135,3193,1,1,1,14
1365,1350,3,1,15,14
760,760,3,2,40,14
2700,2676,3,2,12,28
394,1270,1,1,1,14
44,42,3,2,2,112
1260,1246,3,1,7,28
104,62,1,1,1,56
2745,2730,3,2,15,14
80,59,1,1,1,112
331,1450,1,1,1,28
2323,2169,1,1,1,14
1837,1804,3,2,11,28
2020,2714,1,1,1,7
230,230,3,1,10,14
3766,910,1,1,1,14
1936,1920,3,2,8,28
384,384,3,2,24,14
754,754,3,1,29,14
182,168,3,2,14,14
44,102,1,1,1,28
120,120,3,2,12,14
2239,452,1,1,1,7
2387,2255,1,1,1,7
68,76,3,2,2,56
26,35,1,1,1,56
21,19,3,2,1,112
24,49,1,1,1,14
845,845,3,2,13,14
891,864,3,1,27,14
1417,1257,1,1,1,14
63,63,3,2,9,14
3895,3895,3,1,41,7
192,218,1,1,1,7
1195,3561,1,1,1,7
882,873,3,2,9,28
1608,1483,1,1,1,28
2108,1802,3,1,17,14
920,904,3,1,8,28
481,422,1,1,1,56
370,370,3,2,37,14
2144,2112,3,1,32,14
60,62,3,1,2,112
2164,2180,1,1,1,7
1600,1600,3,2,16,14
84,147,1,2,1,56
84,50,1,1,1,14
2691,1431,3,1,9,14
754,754,3,2,13,14
829,179,1,1,1,7
175,283,1,2,1,112
1234,387,1,1,1,7
228,177,1,1,1,56
2379,2379,3,2,39,7
714,680,3,2,34,7
196,196,3,2,14,14
66,63,3,2,3,56
40,63,1,1,1,14
108,122,1,2,1,112
212,204,3,2,4,56
3312,3368,1,1,4,14
78,72,3,1,6,14
3648,3648,3,2,38,7
369,369,3,1,41,7
216,204,3,1,6,28
2656,2640,3,2,16,14
3230,3192,3,1,38,7
3779,865,1,1,1,14
1284,1284,3,2,12,14
439,454,1,1,1,7
1112,1131,1,1,1,7
3591,906,1,1,1,7
55,73,1,1,1,7
707,243,1,1,1,56
239,85,1,1,1,112
3936,3936,3,2,41,7
276,256,3,2,4,112
719,643,1,1,1,56
962,962,3,1,26,14
206,819,1,1,1,28
205,71,1,1,1,7
308,396,1,2,2,56
2310,2226,3,2,7,56
3240,3240,3,1,18,14
1030,1145,3,2,5,112
731,895,1,2,1,56
813,815,1,1,1,14
919,548,1,1,1,7
2937,2703,1,1,1,14
160,111,1,1,1,112
319,298,1,1,1,7
1085,1071,3,2,7,28
366,386,1,1,1,56
846,267,1,1,1,56
1515,371,1,1,1,14
48,54,3,1,2,28
24,25,1,1,1,112
10,28,1,1,1,56
2,5,1,1,1,112
1653,1634,3,2,19,14
1976,469,1,1,1,28
2700,2664,3,2,36,7
1566,1539,3,2,9,28
1067,932,1,1,1,14
3648,3648,3,2,32,14
19,31,1,1,1,112
1380,1350,3,2,6,56
692,612,1,1,1,56
103,69,1,1,1,28
1610,1575,3,1,35,14
390,139,1,1,1,56
952,944,3,1,8,28
525,588,1,1,1,7
170,77,1,1,1,28
1610,1610,3,2,35,7
21,24,1,1,1,56
39,49,3,1,1,112
450,545,1,1,1,7
2207,960,1,1,1,56
742,728,3,2,7,28
117,435,1,1,1,7
60,52,1,1,1,28
3752,901,1,1,1,28
23,24,3,2,1,112
3156,705,1,1,1,14
2726,2726,3,1,29,7
2108,2074,3,2,34,14
3154,3019,1,1,1,28
3802,1045,1,1,1,7
332,1143,1,1,1,28
2420,2387,3,2,11,28
100,129,1,2,1,112
1190,1190,3,1,17,14
1575,1575,3,1,21,14
1056,1056,3,1,32,14
3340,1400,1,1,10,7
775,775,3,1,25,14
2179,2077,1,1,1,28
105,90,3,1,15,7
2812,2747,1,1,1,7
354,1240,1,1,1,7
1074,1056,3,1,6,56
56,58,3,1,2,28
227,202,1,1,1,56
375,375,3,2,5,56
859,302,1,1,1,56
676,592,3,1,2,112
1188,1170,3,2,9,28
305,815,1,1,1,14
3946,2016,1,1,2,28
276,1686,1,1,1,14
3835,895,1,1,1,14
61,191,1,1,1,56
363,1065,1,1,1,28
983,253,1,1,1,56
72,205,1,1,1,28
229,72,1,1,1,7
1058,1058,3,1,23,14
585,538,1,1,1,28
1192,562,1,1,1,56
40,79,1,1,1,28
630,588,3,1,42,7
1023,1023,3,1,33,14
2800,2744,3,2,7,56
189,182,3,2,7,28
3757,840,1,1,1,14
204,204,3,1,34,7
5,13,1,2,1,112
984,972,3,1,12,14
746,3303,1,1,1,7
3075,3075,3,2,41,7
2394,2234,1,1,1,14
470,129,1,1,1,7
3894,3861,3,2,33,7
86,232,1,1,1,14
3492,3348,3,1,36,14
53,44,1,1,1,28
2553,2553,3,1,37,14
2020,2000,3,2,20,7
1216,1178,3,1,38,7
1760,1728,3,2,8,28
179,279,1,2,1,112
49,62,1,1,1,28
3575,3575,3,2,25,7
145,69,1,1,1,14
585,585,3,1,39,14
